song,level,lyrics
And Your Bird Can Sing,4,"You tell me that you've got everything you want<br>And your bird can sing<br>But you don't get me, you don't get me<br><br>You say you've seen Seven Wonders and your bird is green<br>But you can't see me, you can't see me<br><br>When your prized possessions start to weigh you down<br>Look in my direction, I'll be 'round, I'll be 'round<br><br>When your bird is broken will it bring you down<br>You may be awoken, I'll be 'round, I'll be 'round<br><br>You tell me that you've heard every sound there is<br>And your bird can swing<br>But you can't hear me, you can't hear me"
Anna (Go To Him),4,"Anna<br>You come and ask me, girl<br>To set you free, girl<br>You say he loves you more than me<br>So I will set you free<br>Go with him (Anna)<br>Go with him (Anna)<br><br>Anna<br>Girl, before you go now<br>I want you to know, now<br>That I still love you so<br>But if he loves you more<br>Go with him<br><br>All of my life<br>I've been searching for a girl<br>To love me like I love you<br>Oh, now, but every girl I've ever had<br>Breaks my heart and leave me sad<br>What am I, what am I supposed to do<br><br>Anna<br>Just one more thing, girl<br>You give back your ring to me, and I will set you free<br>Go with him<br><br>All of my life<br>I've been searching for a girl<br>To love me like I love you<br>But let me tell you now<br>But every girl I've ever had<br>Breaks my heart and leave me sad<br>What am I, what am I supposed to do<br><br>Anna<br>Just one more thing, girl<br>You give back your ring to me,<br>And I will set you free<br>Go with him<br><br>(Anna) Go with him<br>(Anna) You can go with him, girl<br>(Anna) Go with him"
Another Girl,4,"For I have got another girl, another girl<br>You're making me say that I've got nobody but you<br>But as from today, well, I've got somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>She's sweeter than all the girls and I met quite a few<br>Nobody in all the world can do what she can do<br>And so I'm telling you, This time you'd better stop<br><br>For I have got another girl, another girl<br>Who will love me till the end<br>Through thick and thin<br>She will always be my friend<br><br>I don't want to say that I've been unhappy with you<br>But, as from today, well, I've seen somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>Who will love me till the end<br>Through thick and thin<br>She will always be my friend<br><br>I don't want to say that I've been unhappy with you<br>But, as from today, well, I've seen somebody that's new<br>I ain't no fool and I don't take what I don't want<br><br>For I have got another girl, another girl<br>Another girl"
Any Time At All,4,"Any time at all, any time at all<br>Any time at all, all you've gotta do is call and I'll be there<br><br>If you need somebody to love<br>Just look into my eyes<br>I'll be there to make you feel right<br><br>If you're feeling sorry and sad<br>I'd really sympathize<br>Don't you be sad, just call me tonight<br><br>Any time at all, any time at all<br>Any time at all, all you've gotta do is call and I'll be there<br><br>If the sun has faded away<br>I'll try to make it shine<br>There's nothing I won't do<br>When you need a shoulder to cry on<br>I hope it will be mine<br>Call me tonight, and I'll come to you<br><br>Any time at all, any time at all<br>Any time at all, all you've gotta do is call and I'll be there<br><br>Any time at all, any time at all<br>Any time at all, all you've gotta do is call and I'll be there<br>Any time at all, all you've gotta do is call and I'll be there"
Ask Me Why,4,"I love you, 'cause you tell me things I want to know<br>And it's true that it really only goes to show<br>That I know that I, I, I, I<br>Should never, never, never be blue<br><br>Now you're mine, my happiness still makes me cry<br>And in time, you'll understand the reason why<br>If I cry, it's not because I'm sad<br>But you're the only love that I've ever had<br><br>I can't believe it's happened to me<br>I can't conceive of any more misery<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br><br>I love you, 'cause you tell me things I want to know<br>And it's true that it really only goes to show<br>That I know that I, I, I, I<br>Should never, never, never be blue<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br><br>I can't believe it's happened to me<br>I can't conceive of any more misery<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br>You, you"
Baby It's You,4,"Sha la la la la la la la<br>Sha la la la la la la la<br>Sha la la la la la la la<br>Sha la la la la<br><br>It's not the way you smile that touched my heart. (sha la la la la)<br>It's not the way you kiss that tears me apart.<br><br>Uh, oh, many, many, many nights go by,<br>I sit alone at home and I cry over you.<br>What can I do.<br>Can't help myself, 'cause baby, it's you.<br>Baby, it's you.<br><br>You should hear what they say about you, ""cheat,"" ""cheat.""<br>They say, they say you never never never ever been true. (cheat cheat)<br><br>Uh oh,<br>It doesn't matter what they say,<br>I know I'm gonna love you any old way.<br>What can I do, and it's true.<br>Don't want nobody, nobody, 'cause baby, it's you. (sha la la la la la la)<br>Baby, it's you. (sha la la la la la la)<br><br>Uh oh,<br>It doesn't matter what they say,<br>I know I'm gonna love you any old way.<br>What can I do, when it's true.<br>Don't want nobody, nobody, 'cause baby, it's you. (sha la la la la la la)<br>Baby, it's you. (sha la la la la la la)<br>Don't leave me all alone..."
Baby You're A Rich Man,4,"How does it feel to be<br>One of the beautiful people?<br>Now that you know who you are.<br>What do you want to be?<br>And have you travelled very far?<br>Far as the eyes can see<br><br>How does it feel to be<br>One of the beautiful people?<br>How often have you been there?<br>Often enough to know<br>What did you see when you were there?<br>Nothing that doesn't show<br>Baby you're a rich man<br>Baby you're a rich man<br>Baby you're a rich man too<br>You keep all your money in a big brown bag inside a zoo<br>What a thing to do<br>Baby you're a rich man<br>Baby you're a rich man<br>Baby you're a rich man too<br><br>How does it feel to be<br>One of the beautiful people?<br>Tuned to a natural E<br>Happy to be that way<br>Now that you've found another key<br>What are you going to play?<br>Baby you're a rich man<br>Baby you're a rich man<br>Baby you're a rich man too<br>You keep all your money in a big brown bag inside a zoo<br>What a thing to do<br>Baby, baby you're a rich man<br>Baby you're a rich man<br>Baby you're a rich man too<br>Baby you're a rich man<br>Baby you're a rich man<br>Baby, baby you're a rich man too (fade out)"
Baby's In Black,4,"Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>She thinks of him and so she dresses in black<br>And though he'll never come back, she's dressed in black<br>Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>I think of her, but she thinks only of him<br>And though it's only a whim, she thinks of him<br>Oh how long will it take<br>Till she sees the mistake she has made?<br>Dear what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>Oh how long it will take<br>Till she sees the mistake she has made?<br>Dear what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?<br><br>She thinks of him and so she dresses in black<br>And though he'll never come back, she's dressed in black<br>Oh dear, what can I do?<br>Baby's in black and I'm feeling blue<br>Tell me, oh what can I do?"
Back In The U.S.S.R.,2,"Oh, flew in by Miami Beach B.O.A.C.<br>Didn't get to bed last night<br>On the way the paper bag was on my knee<br>Man I had a dreadful flight<br><br>I'm back in the U.S.S.R.<br>You don't know how lucky you are boy<br>Back in the U.S.S.R. (Yeah)<br><br>Been away so long I hardly knew the place<br>Gee it's good to be back home<br>Leave it 'til tomorrow to unpack my case<br>Honey disconnect the phone<br><br>I'm back in the U.S.S.R.<br>You don't know how lucky you are boy<br>Back in the U.S.<br>Back in the U.S.<br>Back in the U.S.S.R.<br><br>Well the Ukraine girls really knock me out<br>They leave the West behind<br>And Moscow girls make me sing and shout<br>That Georgia's always on my my my my my my my my my mind<br><br>Aw come on!<br>Ho yeah!<br>Ho yeah!<br>Ho ho yeah!<br>Yeah yeah!<br><br>Yeah I'm back in the U.S.S.R.<br>You don't know how lucky you are boys<br>Back in the U.S.S.R.<br><br>Well the Ukraine girls really knock me out<br>They leave the West behind<br>And Moscow girls make me sing and shout<br>That Georgia's always on my my my my my my my my my mind<br><br>Oh, show me 'round your snow-peaked mountains way down south<br>Take me to your daddy's farm<br>Let me hear your balalaikas ringing out<br>Come and keep your comrade warm<br><br>I'm back in the U.S.S.R.<br>Hey you don't know how lucky you are boys<br>Back in the U.S.S.R.<br><br>Oh let me tell you, honey<br>Hey, I'm back!<br>I'm back in the U.S.S.R.<br>Yes, I'm free!<br>Yeah, back in the U.S.S.R.<br><br>Ha ha"
Bad Boy,4,"A bad little kid moved into my neighborhood<br>He won't do nothing right just sitting down and looks so good<br>He don't want to go to school and learn to read and write<br>Just sits around the house and plays the rock and roll music all night<br>Well, he put some tacks on teachers chair<br>Puts chewing gum in little girl's hair<br>Hey, junior, behave yourself<br><br>Buys every rock and roll book on the magazine stand<br>Every dime that he get is lost to the jukebox man<br>Well he worries his teacher till at night she's ready to poop<br>From rocking and a-rolling spinning in a hula hoop<br>Well this rock and roll has got to stop<br>Junior's head is hard as rock<br>Now, junior, behave yourself<br><br>Going tell your mama you better do what she said<br>Get to the barber shop and get that hair cut off your head<br>Threw the canary and you fed it to the neighbors cat<br>You gave the cocker spaniel a bath in mother's laundramat<br>Well, mama's head has got to stop<br>Junior's head is hard as rock<br>Now, junior, behave yourself"
Because,4,"Aaaaaahhhhhh...<br>Because the world is round it turns me on<br>Because the world is round...aaaaaahhhhhh<br><br>Because the wind is high it blows my mind<br>Because the wind is high...aaaaaaaahhhh<br><br>Love is old, love is new<br>Love is all, love is you<br><br>Because the sky is blue, it makes me cry<br>Because the sky is blue...aaaaaaaahhhh<br><br>Aaaaahhhhhhhhhh...<br>Aaaaahhhhhhhhhh...<br>Aaaaahhhhhhhhhh..."
Being For The Benefit Of Mr Kite!,4,"For the benefit of Mr. Kite,<br>There will be a show tonight<br>On trampoline.<br><br>The Hendersons will all be there.<br>Late of Pablo Fanque's Fair.<br>What a scene!<br><br>Over men and horses, hoops and garters,<br>Lastly through a hogshead of real fire!<br>In this way<br>Mr. K.<br>Will challenge the world!<br><br>The celebrated Mr. K.<br>Performs his feat on Saturday<br>At Bishopsgate.<br><br>The Hendersons will dance and sing<br>As Mr. Kite flies through the ring.<br>Don't be late!<br><br>Messrs. K. and H. assure the public<br>Their production will be second to none.<br>And of course<br>Henry The Horse<br>Dances the waltz!<br><br>The band begins at ten to six,<br>When Mr. K. performs his tricks<br>Without a sound.<br><br>And Mr. H. will demonstrate<br>Ten summersets he'll undertake<br>On solid ground.<br><br>Having been some days in preparation,<br>A splendid time is guaranteed for all.<br>And tonight<br>Mr. Kite<br>Is topping the bill!"
Birthday,4,"They say it's your birthday<br>It's my birthday too, yeah<br>They say it's your birthday<br>We're gonna have a good time<br>I'm glad it's your birthday<br>Happy birthday to you<br><br>Ah<br>Ah<br>Ah<br>Come on<br>Come on<br><br>Yes we're going to a party party<br>Yes we're going to a party party<br>Yes we're going to a party party<br><br>I would like you to dance (Birthday)<br>Take a cha-cha-cha-chance (Birthday)<br>I would like you to dance (Birthday)<br>Dance yeah<br><br>Oh<br>Come on<br><br>I would like you to dance (Birthday)<br>Take a cha-cha-cha-chance (Birthday)<br>I would like you to dance (Birthday)<br>Oh dance! Dance<br><br>They say it's your birthday<br>Well it's my birthday too, yeah<br>They say it's your birthday<br>We're gonna have a good time<br>I'm glad it's your birthday<br>Happy birthday to you"
Blackbird,3,"Blackbird singing in the dead of night<br>Take these broken wings and learn to fly<br>All your life<br>You were only waiting for this moment to arise<br><br>Blackbird singing in the dead of night<br>Take these sunken eyes and learn to see<br>All your life<br>You were only waiting for this moment to be free<br><br>Blackbird fly, blackbird fly<br>Into the light of the dark black night<br><br>Blackbird fly, blackbird fly<br>Into the light of the dark black night<br><br>Blackbird singing in the dead of night<br>Take these broken wings and learn to fly<br>All your life<br>You were only waiting for this moment to arise<br>You were only waiting for this moment to arise<br>You were only waiting for this moment to arise"
Blue Jay Way,4,"There's a fog upon L.A.,<br>And my friends have lost their way.<br>""We'll be over soon,"" they said.<br>Now they've lost themselves instead<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long for I may be asleep<br><br>Well, it only goes to show<br>And I told them where to go<br>Ask a policeman on the street<br>There's so many there to meet<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long for I may be asleep<br><br>Now it's past my bed I know<br>And I'd really like to go<br>Soon will be the break of day<br>Sitting here in Blue Jay Way<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long for I may be asleep<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long<br><br>Please don't be long<br>Please don't you be very long<br>Please don't be long<br><br>Don't be long, don't be long, don't be long<br>Don't be long, don't be long, don't be long"
Boys,4,"I been told when a boy kiss a girl<br>Take a trip around the world<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>My girl says when I kiss her lips<br>Gets a thrill through her fingertips<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>Well, I talk about boys<br>Don't ya know I mean boys<br>Well, I talk about boys, now<br>Aaahhh, boys<br>Well, I talk about boys, now<br>What a bundle of joy!<br>(Alright, George!)<br><br>My girl says when I kiss her lips<br>Gets a thrill through her fingertips<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>Well, I talk about boys<br>Don't ya know I mean boys<br>Well, I talk about boys, now<br>Aaahhh, boys<br>Well, I talk about boys, now<br>What a bundle of joy!<br><br>Oh, oh, ah yeah boys<br>Don't ya know I mean boys?<br>Ooh, boys<br>Ah ha<br>Well I talk about boys now"
Can't Buy Me Love,1,"Can't buy me love, love<br>Can't buy me love<br><br>I'll buy you a diamond ring my friend<br>If it makes you feel alright<br>I'll get you anything my friend<br>If it makes you feel alright<br>'Cause I don't care too much for money<br>Money can't buy me love<br><br>I'll give you all I've got to give<br>If you say you love me too<br>I may not have a lot to give<br>But what I've got I'll give to you<br>I don't care too much for money<br>Money can't buy me love<br><br>Can't buy me love, everybody tells me so<br>Can't buy me love, no, no, no, no<br><br>Say you don't need no diamond rings<br>And I'll be satisfied<br>Tell me that you want the kind of things<br>That money just can't buy<br>I don't care too much for money<br>Money can't buy me love<br><br>Can't buy me love, everybody tells me so<br>Can't buy me love, no, no, no, no<br><br>Say you don't need no diamond rings<br>And I'll be satisfied<br>Tell me that you want the kind of things<br>That money just can't buy<br>I don't care too much for money<br>Money can't buy me love<br><br>Can't buy me love, love<br>Can't buy me love, oh"
Carry That Weight,4,"Boy, you're gonna carry that weight,<br>Carry that weight a long time<br>Boy, you're gonna carry that weight<br>Carry that weight a long time<br><br>I never give you my pillow<br>I only send you my invitations<br>And in the middle of the celebrations<br>I break down<br><br>Boy, you're gonna carry that weight<br>Carry that weight a long time<br>Boy, you're gonna carry that weight<br>Carry that weight a long time"
Chains,4,"Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Whoa, oh, these chains of love got a hold on me, yeah<br><br>Chains, well I can't break away from these chains<br>Can't run around, cos I'm not free<br>Whoa, oh, these chains of love won't let me be, yeah<br><br>I wanna tell you, pretty baby<br>I think you're fine<br>I'd like to love you<br>But, darling, I'm imprisoned by these...<br><br>Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Oh, oh, these chains of love got a hold on me<br><br>Please believe me when I tell you<br>Your lips are sweet<br>I'd like to kiss them<br>But I can't break away from all of these...<br><br>Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Whoa, oh, these chains of love got a hold on me, yeah<br><br>Chains, chains of love..."
Come Together,1,"Here come old flat-top, he come groovin' up slowly<br>He got ju-ju eyeball, he one holy roller<br>He got hair down to his knee<br>Got to be a joker, he just do what he please<br><br>He wear no shoeshine, he got toe-jam football<br>He got monkey finger, he shoot Coca-Cola<br>He say, ""I know you, you know me""<br>One thing I can tell you is you got to be free<br><br>Come together, right now<br>Over me<br><br>He bag production, he got walrus gumboot<br>He got Ono sideboard, he one spinal cracker<br>He got feet down below his knee<br>Hold you in his armchair, you can feel his disease<br><br>Come together, right now<br>Over me<br><br>Right!<br><br>Come, come, come, come...<br><br>He roller-coaster, he got early warnin'<br>He got muddy water, he one mojo filter<br>He say, ""One and one and one is three""<br>Got to be good-lookin' 'cause he's so hard to see<br><br>Come together, right now<br>Over me<br><br>Ugh!<br><br>Come together, yeah<br>Come together, yeah<br>Come together, yeah<br>Come together, yeah<br>Come together, yeah<br>Come together, yeah<br>Come together, yeah<br>Agh!<br>Come together, yeah<br>Come together, yeah<br>Come together..."
Cry Baby Cry,4,Cry baby cry<br>Make your mother sigh<br>She's old enough to know better<br><br>The king of Marigold was in the kitchen<br>Cooking breakfast for the queen<br>The queen was in the parlour<br>Playing piano for the children of the king<br><br>Cry baby cry<br>Make your mother sigh<br>She's old enough to know better<br>So cry baby cry<br><br>The king was in the garden<br>Picking flowers for a friend who came to play<br>The queen was in the playroom<br>Painting pictures for the childrens holiday<br><br>Cry baby cry<br>Make your mother sigh<br>She's old enough to know better<br>So cry baby cry<br><br>The duchess of Kircaldy always smiling<br>And arriving late for tea<br>The duke was having problems<br>With a message at the local bird and bee<br><br>Cry baby cry<br>Make your mother sigh<br>She's old enough to know better<br>So cry baby cry<br><br>At twelve o'clock a meeting round the table<br>For a seance in the dark<br>With voices out of nowhere<br>Put on specially by the children for a lark<br><br>Cry baby cry<br>Make your mother sigh<br>She's old enough to know better<br>So cry baby cry cry cry cry baby<br>Make your mother sigh<br>She's old enough to know better<br>Cry baby cry<br><br>Cry cry cry<br>Make your mother sigh<br>She's old enough to know better<br>So cry baby cry
Day Tripper,1,"Got a good reason for taking the easy way out<br>Got a good reason for taking the easy way out now<br>She was a day tripper, one way ticket yeah<br>It took me so long to find out, and I found out<br><br>She's a big teaser, she took me half the way there<br>She's a big teaser, she took me half the way there now<br>She was a day tripper, one way ticket yeah<br>It took me so long to find out, and I found out<br><br>Tried to please her, she only played one night stands<br>Tried to please her, she only played one night stands now<br>She was a day tripper, Sunday driver yeah<br>It took me so long to find out, and I found out<br><br>Day tripper<br>Day tripper yeah<br>Day tripper<br>Day tripper yeah<br>Day tripper"
Dear Prudence,3,"Dear Prudence, won't you come out to play?<br>Dear Prudence, greet the brand new day<br>The sun is up, the sky is blue<br>It's beautiful and so are you<br>Dear Prudence, won't you come out to play?<br><br>Dear Prudence, open up your eyes<br>Dear Prudence, see the sunny skies<br>The wind is low, the birds will sing<br>That you are part of everything<br>Dear Prudence, won't you open up your eyes?<br><br>Look around round<br>Look around round round<br>Look around<br><br>Dear Prudence, let me see you smile<br>Dear Prudence, like a little child<br>The clouds will be a daisy chain<br>So let me see you smile again<br>Dear Prudence, won't you let me see you smile?<br><br>Dear Prudence, won't you come out to play?<br>Dear Prudence, greet the brand new day<br>The sun is up, the sky is blue<br>It's beautiful and so are you<br>Dear Prudence, won't you come out to play?"
